key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,2019_May_03_1410,59.9327422294,BCI_Exp_v10,001,,
space,1.16780832441,2019_May_03_1410,59.9327422294,BCI_Exp_v10,001,,
